update,avg_reward_jb0,avg_reward_jb1,episodes_completed,goals_reached,collisions,critic_loss,actor_loss,elapsed_sec,active_steps_jb0,active_steps_jb1,max_goal_distance,rolling_success_rate
236,-3.8481287876477444,4.723843355103229,4,3,4,29.254030227661133,-0.09560176730155945,15312.075863361359,167,161,1.5,0.4419
237,5.627770665156296,3.9496741922984056,5,6,5,54.19776153564453,-0.0658155083656311,15428.357701063156,175,111,1.5,0.4681
238,-0.06721040821522184,-5.7706272519292545,2,1,3,20.40047836303711,-0.0988890528678894,15539.424078702927,75,135,1.5,0.4432
239,9.228217712161953,-2.083467987886392,5,5,5,69.30941772460938,-0.06602637469768524,15651.959991693497,181,142,1.5,0.4545
240,-9.513943296008339,0.0,1,0,1,9.748722076416016,-0.08885273337364197,15761.494484901428,200,66,1.5,0.4268
241,-11.37922712697438,-9.529136479425908,2,1,4,24.901325225830078,-0.10151655972003937,15872.59208226204,133,86,1.5,0.4167
242,-10.0,0.0,1,1,1,33.45658874511719,-0.05875450000166893,15982.176872730255,200,12,1.5,0.4394
243,-5.144409035591032,5.140527738679175,5,4,6,57.619136810302734,-0.0773775726556778,16095.721755981445,82,199,1.5,0.3939
244,-6.006381140560716,-1.9955907008236256,3,1,4,33.5631217956543,-0.08794490993022919,16206.570784568787,53,200,1.5,0.3906
245,1.8521567233833407,-9.774644803320747,2,2,3,37.33241653442383,-0.08052116632461548,16317.01311302185,183,50,1.5,0.4
246,1.506901462104247,-1.2134170302333294,4,3,5,44.37728500366211,-0.07500883936882019,16428.404186964035,164,103,1.5,0.4
247,6.8541897050406195,1.1417016432142235,2,2,2,29.645435333251953,-0.06856683641672134,16538.68231034279,165,94,1.5,0.3704
248,-10.0,0.0,1,0,2,24.79060173034668,-0.07528181374073029,16650.110122442245,200,42,1.5,0.3654
249,-6.597956783104966,9.892679211430147,4,3,3,56.30072021484375,-0.08991989493370056,16762.92347240448,169,100,1.5,0.34
250,-4.408760764463834,-9.357947597546456,5,1,9,57.2176513671875,-0.06920705735683441,16875.079483747482,142,114,1.5,0.3103
251,0.198146093239286,13.384267306080616,2,4,1,58.157142639160156,-0.07144946604967117,16986.200343370438,66,200,1.5,0.3621
252,6.514048053754911,-8.074517172258489,2,1,3,21.45305633544922,-0.07847528159618378,17096.680273771286,61,176,1.5,0.35
253,-8.301516928582528,0.0,1,1,1,13.09598159790039,-0.08445381373167038,17206.40953850746,139,100,1.5,0.3462
254,1.411082861699448,-2.7287131583889352,3,2,3,43.07039260864258,-0.06588369607925415,17317.844464063644,59,200,1.5,0.3654
255,-10.09513096013023,1.5470640808602898,2,1,4,45.06867218017578,-0.10739406198263168,17430.14241528511,30,192,1.5,0.3462
256,-3.6678005780630394,2.244466342211462,6,4,7,47.102149963378906,-0.07364940643310547,17543.845463991165,176,167,1.5,0.3393
257,-0.30492642536789916,-2.0174758491763947,3,2,4,34.90114212036133,-0.06924258917570114,17654.577409505844,105,176,1.5,0.3276
258,-3.469552380944909,7.624183291753024,4,4,5,49.576904296875,-0.04948139190673828,17766.59906935692,161,83,1.5,0.3594
259,-9.857975040847222,4.545637263950013,4,3,5,37.54899597167969,-0.06906324625015259,17878.931787014008,139,116,1.5,0.3594
260,0.0,14.612780224818476,1,1,1,4.288208961486816,-0.11603053659200668,17988.789357185364,16,185,1.5,0.4107
